Company Name,Symbol,Market Cap,EPS Forecast,EPS,Time,Fiscal Quarter Ending,No. of ESTs,Surprise,Scraped At
Genco Shipping & Trading Limited ,GNK,"$624,692,845",$0.28,,time-after-hours,Dec/2024,4,,2025-02-19 03:27:36
"Cross Country Healthcare, Inc.",CCRN,"$597,437,143",$0.11,,time-not-supplied,Dec/2024,5,,2025-02-19 03:27:36
"Sturm, Ruger & Company, Inc.",RGR,"$596,410,068",,,time-after-hours,Dec/2024,N/A,,2025-02-19 03:27:36
"Septerna, Inc.",SEPN,"$575,459,536",($0.56),,time-not-supplied,Dec/2024,10,,2025-02-19 03:27:36
Farmland Partners Inc.,FPI,"$568,918,842",$0.15,,time-after-hours,Dec/2024,1,,2025-02-19 03:27:36
Herbalife Ltd.,HLF,"$566,450,921",$0,,time-after-hours,Dec/2024,2,,2025-02-19 03:27:36
"New York Mortgage Trust, Inc.",NYMT,"$557,063,611",$0.08,,time-after-hours,Dec/2024,3,,2025-02-19 03:27:36
"Consensus Cloud Solutions, Inc.",CCSI,"$556,136,658",$1.03,,time-after-hours,Dec/2024,3,,2025-02-19 03:27:36
"Mativ Holdings, Inc.",MATV,"$494,456,053",$0.04,,time-after-hours,Dec/2024,1,,2025-02-19 03:27:36
SBC Medical Group Holdings Incorporated,SBC,"$492,439,500",$1.28,,time-not-supplied,Dec/2024,10,,2025-02-19 03:27:36
Net Lease Office Properties,NLOP,"$474,598,949",,,time-not-supplied,Dec/2024,10,,2025-02-19 03:27:36
Perion Network Ltd,PERI,"$467,435,690",$0.22,,time-pre-market,Dec/2024,2,,2025-02-19 03:27:36
AirJoule Technologies Corporation,AIRJ,"$444,511,593",($0.07),,time-not-supplied,Dec/2024,10,,2025-02-19 03:27:36
"Claros Mortgage Trust, Inc.",CMTG,"$433,417,863",$0.07,,time-after-hours,Dec/2024,1,,2025-02-19 03:27:36
Gladstone Land Corporation,LAND,"$420,465,725",$0.11,,time-after-hours,Dec/2024,3,,2025-02-19 03:27:36
"Haverty Furniture Companies, Inc.",HVT,"$359,828,185",$0.17,,time-not-supplied,Dec/2024,2,,2025-02-19 03:27:36
"Haverty Furniture Companies, Inc.",HVT.A,"$357,265,250",,,time-not-supplied,Dec/2024,10,,2025-02-19 03:27:36
"Spok Holdings, Inc.",SPOK,"$343,008,246",$0.20,,time-not-supplied,Dec/2024,1,,2025-02-19 03:27:36
Logistic Properties of the Americas,LPA,"$301,829,226",,,time-not-supplied,Dec/2024,10,,2025-02-19 03:27:36
Alumis Inc.,ALMS,"$283,462,173",($1.39),,time-not-supplied,Dec/2024,10,,2025-02-19 03:27:36
Pulmonx Corporation,LUNG,"$275,230,516",($0.43),,time-after-hours,Dec/2024,2,,2025-02-19 03:27:36
"ATN International, Inc.",ATNI,"$266,614,770",($0.24),,time-not-supplied,Dec/2024,3,,2025-02-19 03:27:36
Euroseas Ltd.,ESEA,"$239,399,117",$3.66,,time-not-supplied,Dec/2024,1,,2025-02-19 03:27:36
"TrueBlue, Inc.",TBI,"$221,987,639",($0.13),,time-after-hours,Dec/2024,1,,2025-02-19 03:27:36
Nevro Corp.,NVRO,"$213,962,961",($0.79),,time-not-supplied,Dec/2024,7,,2025-02-19 03:27:36
"Contineum Therapeutics, Inc.",CTNM,"$199,262,339",($0.44),,time-not-supplied,Dec/2024,10,,2025-02-19 03:27:36
Inseego Corp.,INSG,"$193,070,431",($0.07),,time-after-hours,Dec/2024,1,,2025-02-19 03:27:36
"TuHURA Biosciences, Inc.",HURA,"$177,172,155",($0.09),,time-not-supplied,Dec/2024,1,,2025-02-19 03:27:36
BankFinancial Corporation,BFIN,"$164,730,163",$0.20,,time-not-supplied,Dec/2024,2,,2025-02-19 03:27:36
"Mastech Digital, Inc",MHH,"$152,762,947",$0.15,,time-pre-market,Dec/2024,2,,2025-02-19 03:27:36
Caesarstone Ltd.,CSTE,"$137,093,834",,,time-not-supplied,Dec/2024,10,,2025-02-19 03:27:36
Renovaro Inc.,RENB,"$128,386,457",,,time-not-supplied,Dec/2024,10,,2025-02-19 03:27:36
Fonar Corporation,FONR,"$108,132,700",,,time-not-supplied,Dec/2024,10,,2025-02-19 03:27:36
Karyopharm Therapeutics Inc.,KPTI,"$77,268,924",($0.26),,time-pre-market,Dec/2024,4,,2025-02-19 03:27:36
